City,Check-in,Check-out,Hotel Name,Price,Rating,Room Type,Features,Image URL
Indore,,,Ginger ,"2,999","Scored 6.3
6.3
Review score
200 reviews",Twin Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/47764667.webp?k=0a0c861ab2c8ed7a5bba18589ce395fba0814e6dab2bf5d45848ebcb0430c3ce&o=
Indore,,,The Eden,"1,800","Scored 7.4
7.4
Good
50 reviews",Deluxe Double Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/313681430.webp?k=3e50e99861b8b4be5ac2a0b9b3f5002084d762b67ceb668fd173ba1b65c34fc9&o=
Indore,,,Ramada Encore by Wyndham,"4,500","Scored 8.0
8.0
Very good
350 reviews",Deluxe King Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/464307254.webp?k=cd18e5e34590e57ab7bdbc3bad1ac408591fb193497dda18d8bff1786ddb960d&o=
Indore,,,Hotel O The Dreams,939,"Scored 9.7
9.7
Exceptional
46 reviews",Standard Double Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/642098226.webp?k=22df08c151bdb015c65b826cc6f56c309f3882a9afefcc4f29ae21b0e9d3a81e&o=
Indore,,,FabHotel Rush Imperial,"1,207","Scored 10
10
Exceptional
4 reviews",Deluxe Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/599437029.webp?k=fa0434f71205f22006d1a462f6a423962a05a7c937e0e873983b57a798189875&o=
Indore,,,FabHotel Day2Day,"1,579","Scored 8.5
8.5
Very good
459 reviews",Deluxe Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/385098603.webp?k=def97e5ccd5d79b8f7c3efd130ce08f39561554ad12c8453465ee609ea1fc41a&o=
Indore,,,Playsales Scarlet,"3,080","Scored 7.9
7.9
Good
37 reviews",Deluxe Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/559314575.webp?k=5776aa7b865e4e62542a960443dfe8860d40dd0ac040cde69760dc77220f7617&o=
Indore,,,Townhouse OAK ,907,"Scored 4.3
4.3
Review score
182 reviews",Standard Double Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/634087936.webp?k=736b8134609fb0582158f45dc82e07514bd33dcd8e9134445207e26dbc5846b7&o=
Indore,,,Super Hotel O ,"2,006",N/A,Classic Triple Room,Free cancellation,https://cf.bstatic.com/xdata/images/hotel/square600/652976956.webp?k=6af5922434ffdc592789b8304bc745620cfef00c2123feed7b8956e84c274f04&o=
Indore,,,Hotel O katyayani,515,N/A,Classic Triple Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/652188336.webp?k=67cbf9767e70233fd378d619edcec63069265e310e37c282f6d7a58ec3203d81&o=
Indore,,,Lemon Tree Hotel ,"3,967","Scored 7.4
7.4
Good
232 reviews",Deluxe Twin Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/35290724.webp?k=5ab1c8da43ae8ba2bc14686bb1b58739367d668989387ea1e89ef2352dd2fef4&o=
Indore,,,FabHotel Santoor ,"2,246","Scored 8.3
8.3
Very good
497 reviews",Executive Triple Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/525408152.webp?k=3dea07fab8b210c24c443fcba44553b8806e751ed6f883ff13d8e98bd69d43cd&o=
Indore,,,Hotel O Fusion Stays,691,"Scored 10
10
Exceptional
1 review",Standard Double Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/640517773.webp?k=25b039cd178d1ad4119066709c5527e91eae6103031403f8ecb488b919ec1146&o=
Indore,,,FabHotel Atharv,"1,700","Scored 8.4
8.4
Very good
145 reviews",Deluxe Room,N/A,https://cf.bstatic.com/xdata/images/hotel/square600/461408431.webp?k=21e1dae4d9c05b4e15ccdafb95f99359645c810973348523b9c056c712007177&o=
Indore,,,Collection O 7 Eleven,886,"Scored 5.5
5.5
Review score
2 reviews",Classic Triple Room,"Free cancellation, No prepayment needed",https://cf.bstatic.com/xdata/images/hotel/square600/598279008.webp?k=a23199ab47db9a5586738f94fbb3fbbce5a94b471e8f4a9fd86759a88563b76e&o=
