Images,Name,Rating,People rated ,Destination type,Prices,City
https://lh4.googleusercontent.com/proxy/LVQEgeLUHrV9Q1VvIqKL0FtDWCL3TR_YS1dDeTpEBoBjNbcFIZ0ICbkVLHHKinj7EpOPpDp6eIDxW75wZlW2axJyfcXcJv-BnwojJJ7NySoFHbX74M1KmCR7CkReS2kS_AeUMNA8A8Il05X-ZhlA5LwtbeMWqw=w148-h148-n-k-no,Rajwada Palace,4.4,(68K),Historical landmark,,Indore
https://lh5.googleusercontent.com/p/AF1QipPMn2tJmFYGzVZEKJ8sAiPJwteYb54IimRS0ett=w148-h148-n-k-no,"Shri Annapurna Temple, Indore",4.7,(15K),Hindu temple,Free,Indore
https://lh5.googleusercontent.com/p/AF1QipNRkvGQj5CRgDZPFj2Rn9tix7tGvJqrjFmrVxqi=w148-h148-n-k-no,Lal Bagh Palace,4.3,(6.7K),Historical place museum,₹400.00,Indore
https://lh5.googleusercontent.com/p/AF1QipP_MzIiQQ7POpUh5JuvEHy6EYlyhGqzFl1f7eGB=w148-h148-n-k-no,Kanch Mandir,4.4,(3.1K),Jain temple,Free,Indore
https://lh5.googleusercontent.com/p/AF1QipNfxJJbZj9xKDYTdcM_UKm15eD3_AHbfj0B3SfG=w148-h148-n-k-no,Khajrana Ganesh Mandir,4.8,(32K),Hindu temple,Free,Indore
https://lh5.googleusercontent.com/p/AF1QipPx4mq7NzJmYAi-pA3HUghtdpSnDu_o_eZlSOZR=w148-h148-n-k-no,Sarafa Bazar,No rating available,,Neighborhood,,Indore
https://lh5.googleusercontent.com/p/AF1QipOOIvsrRBa1-yf0foEBwuYjYklBha16gO1TiVzx=w148-h148-n-k-no,Phoenix Citadel Mall,4.5,(10K),Shopping Centre,,Indore
https://lh5.googleusercontent.com/p/AF1QipOHRCW2yPp1AFBjQlCqojxGDdyb469Zbd4cFrZM=w148-h148-n-k-no,Treasure Island Mall (TI Mall),4.3,(35K),Shopping Centre,,Indore
https://lh5.googleusercontent.com/p/AF1QipP6n6kTqDO1X9fya5DDhCR5LUJNkEGBcT9Je6uy=w148-h148-n-k-no,Regional Park Indore,4.2,(7.4K),Park and Garden,,Indore
https://lh5.googleusercontent.com/p/AF1QipOQU4DYuk2zCnouN5B4xj3SCK2MnKCopYfdFTyN=w148-h148-n-k-no,Gommatgiri Digambar Jain Mandir,4.6,(3K),Jain temple,Free,Indore
https://lh5.googleusercontent.com/p/AF1QipMRXUCpobKnIiTzLEvPSXo6KBO-JmurB72iVduL=w148-h148-n-k-no,Bada Ganpati,No rating available,,Neighborhood,,Indore
