status,message,timestamp,data__train_number,data_train_name,data__run_days__001,data__run_days__002,data__run_days__003,data__run_days__004,data__run_days__005,data__run_days__006,data__run_days__007,data__train_src,src,data__train_dstn,dstn,data__from_std,data__from_sta,data__local_train_from_sta,data__to_sta,data__to_std,data__from_day,data__to_day,data__d_day,data__from,data__to,data__from_station_name,data__to_station_name,data__halt_stn,data__distance,data__duration,data__special_train,data__train_type,data__score,data__score_train_type,data__score_booking_requency,data__frequency_perc,data__from_distance_text,data__to_distance_text,data__has_pantry,data__is_monsoon_timing_applicable,data__duration_rating,data__score_duration,data__score_std,data__score_user_preferred,data__train_date,data__class_type__001,data__class_type__002,data__class_type__003,data__class_type__004,data__class_type__005,data__class_type__006
TRUE,Success,1.74E+12,20911,NGP VANDEBHARAT,Mon,Tue,Wed,Thu,Fri,Sat,,INDB,Indore,NGP,Ujjain,06:10,06:10,370,06:50,06:55,0,0,0,INDB,UJN,INDORE JN BG,UJJAIN JN,0,63,00:40,FALSE,MAIL EXPRESS,25,5,0,0,,,FALSE,FALSE,1,10,10,0,18-03-2025,CC,EC,,,,
,,,12962,Avantika SF Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Indore,MMCT,Ujjain,17:40,17:40,1060,18:50,18:55,0,0,0,INDB,UJN,INDORE JN BG,UJJAIN JN,1,80,01:10,FALSE,MAIL EXPRESS,25,5,0,0,,,FALSE,FALSE,2,10,10,0,18-03-2025,2S,SL,3E,3A,2A,1A
,,,12415,Intercity SF Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Indore,NDLS,Ujjain,17:10,17:10,1030,18:25,18:30,0,0,0,INDB,UJN,INDORE JN BG,UJJAIN JN,1,80,01:15,FALSE,INT,25,5,0,0,,,FALSE,FALSE,2,10,10,0,18-03-2025,SL,3E,3A,2A,1A,
,,,19310,Shanti Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Indore,GNC,Ujjain,23:00,23:00,1380,00:15,00:20,0,1,0,INDB,UJN,INDORE JN BG,UJJAIN JN,1,80,01:15,FALSE,MAIL EXPRESS,23,5,0,0,,,FALSE,FALSE,2,8,10,0,18-03-2025,2S,SL,3A,2A,1A,
,,,22944,INDORE - DAUND SF Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Indore,DD,Ujjain,16:30,16:30,990,17:50,17:55,0,0,0,INDB,UJN,INDORE JN BG,UJJAIN JN,1,80,01:20,FALSE,MAIL EXPRESS,23,5,0,0,,,FALSE,FALSE,2,8,10,0,18-03-2025,SL,3A,2A,1A,,
,,,19320,Mahamana Express,Tue,,,,,,,INDB,Indore,VRL,Ujjain,22:20,22:20,1340,23:40,23:45,0,0,0,INDB,UJN,INDORE JN BG,UJJAIN JN,1,80,01:20,FALSE,MEX,23,5,0,0,,,FALSE,FALSE,2,8,10,0,18-03-2025,SL,3A,2A,1A,,
,,,19315,VIRBHUMI EXP,Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Indore,ASV,Ujjain,17:55,17:55,1075,19:15,19:20,0,0,0,INDB,UJN,INDORE JN BG,UJJAIN JN,1,80,01:20,FALSE,MAIL EXPRESS,23,5,0,0,,,FALSE,FALSE,2,8,10,0,18-03-2025,SL,3A,2A,1A,,
,,,14115,Dr Ambedkar Nagar - Prayagraj Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,DADN,Indore,PRYJ,Ujjain,12:00,11:50,710,13:25,13:35,0,0,0,INDB,UJN,INDORE JN BG,UJJAIN JN,0,65.62,01:25,FALSE,MEX,23,5,0,0,,,FALSE,FALSE,3,8,10,0,18-03-2025,SL,3E,3A,2A,,
,,,19303,Indore - Bhopal Express,Mon,Tue,Wed,Thu,Fri,Sat,Sun,INDB,Indore,BPL,Ujjain,23:15,23:15,1395,00:40,00:55,0,1,0,INDB,UJN,INDORE JN BG,UJJAIN JN,1,80,01:25,FALSE,MEX,21,5,0,0,,,FALSE,FALSE,3,6,10,0,18-03-2025,SL,3A,,,,
,,,20932,Indore - Thiruvananthapuram North (Kochuveli) SF Express,Tue,,,,,,,INDB,Indore,TVCN,Ujjain,21:40,21:40,1300,23:05,23:10,0,0,0,INDB,UJN,INDORE JN BG,UJJAIN JN,1,80,01:25,FALSE,MAIL EXPRESS,21,5,0,0,,,FALSE,FALSE,3,6,10,0,18-03-2025,2S,SL,3E,3A,2A,
