Departure,From,Arival,To,Airline,Duration,Stops,Layover time,layover,Via,layover at,Price
21:50,Varanasi,12:00,Bhopal,"Air India Express, Air India",38 hrs 10 min,3 stops,15 hrs 5 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹20,374"
06:40,Varanasi,21:30,Bhopal,IndiGo,14 hrs 50 min,1 stop,,,DEL,Indira Gandhi International Airport,"₹20,449"
15:40,Varanasi,12:00,Bhopal,Air India,44 hrs 20 min,2 stops,23 hrs 15 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹20,585"
19:50,Varanasi,16:00,Bhopal,"Air India Express, Air India",20 hrs 10 min,2 stops,11 hrs 45 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹20,922"
19:50,Varanasi,16:00,Bhopal,"Air India Express, Air India",20 hrs 10 min,2 stops,7 hrs 55 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹20,922"
19:50,Varanasi,16:00,Bhopal,"Air India Express, Air India",20 hrs 10 min,2 stops,7 hrs 10 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹21,048"
09:45,Varanasi,12:00,Bhopal,"Air India Express, Air India",26 hrs 15 min,2 stops,18 hrs 25 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹21,089"
09:45,Varanasi,12:00,Bhopal,"Air India Express, Air India",26 hrs 15 min,2 stops,12 hrs 35 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹21,089"
09:45,Varanasi,12:00,Bhopal,"Air India Express, Air India",26 hrs 15 min,2 stops,12 hrs 55 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹21,188"
09:45,Varanasi,12:00,Bhopal,"Air India Express, Air India",26 hrs 15 min,2 stops,14 hrs 25 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹21,188"
09:45,Varanasi,12:00,Bhopal,"Air India Express, Air India",26 hrs 15 min,2 stops,18 hrs 35 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹21,188"
21:50,Varanasi,12:00,Bhopal,"Air India Express, Air India",38 hrs 10 min,2 stops,13 hrs 20 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹21,214"
19:50,Varanasi,16:00,Bhopal,"Air India Express, Air India",20 hrs 10 min,2 stops,8 hrs 25 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹22,308"
14:45,Varanasi,12:00,Bhopal,"Air India Express, Air India",21 hrs 15 min,2 stops,10 hrs 10 min layover,Overnight layover,HYD,Rajiv Gandhi International Airport,"₹22,621"
19:50,Varanasi,07:20,Bhopal,"Air India Express, Air India",35 hrs 30 min,2 stops,11 hrs 10 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹22,652"
15:40,Varanasi,12:00,Bhopal,Air India,20 hrs 20 min,2 stops,9 hrs layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹22,892"
14:45,Varanasi,07:20,Bhopal,"Air India Express, Air India",16 hrs 35 min,2 stops,7 hrs layover,Overnight layover,HYD,Rajiv Gandhi International Airport,"₹24,042"
19:50,Varanasi,16:00,Bhopal,"Air India Express, Air India",20 hrs 10 min,2 stops,11 hrs 10 min layover,Overnight layover,BLR,Kempegowda International Airport Bengaluru,"₹24,103"
14:45,Varanasi,16:00,Bhopal,"Air India Express, Air India",25 hrs 15 min,2 stops,15 hrs 35 min layover,Overnight layover,HYD,Rajiv Gandhi International Airport,"₹25,493"
21:50,Varanasi,12:00,Bhopal,"Air India Express, Air India",38 hrs 10 min,2 stops,17 hrs 5 min layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹25,624"
15:40,Varanasi,12:00,Bhopal,Air India,44 hrs 20 min,2 stops,17 hrs layover,Overnight layover,DEL,Indira Gandhi International Airport,"₹30,329"
12:50,Varanasi,12:00,Bhopal,Air India,23 hrs 10 min,3 stops,5 hrs 25 min layover,Overnight layover,DEL,Indira Gandhi International Airport,
13:25,Varanasi,07:20,Bhopal,Air India,17 hrs 55 min,2 stops,8 hrs 20 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
13:25,Varanasi,07:20,Bhopal,Air India,17 hrs 55 min,2 stops,8 hrs 40 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
13:25,Varanasi,07:20,Bhopal,Air India,17 hrs 55 min,2 stops,9 hrs 35 min layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
13:25,Varanasi,07:20,Bhopal,Air India,17 hrs 55 min,3 stops,5 hrs layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
13:25,Varanasi,07:20,Bhopal,Air India,17 hrs 55 min,3 stops,7 hrs layover,Overnight layover,BOM,Chhatrapati Shivaji Maharaj International Airport Mumbai,
